Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
CO,O,313.15,0.6404634462745019
CO,O,313.15,0.6565298755967787
CO,O,313.15,0.8332960046084763
CO,O,313.15,0.8493642952677914
CO,O,313.65,0.823359320555349
CO,O,318.15,0.6724443482007435
CO,O,323.15,0.7042898695784298
CO,O,323.15,0.7354352997939254
CO,O,323.2,0.734500234043424
CO,O,323.25,0.8269741544960076
CO,O,328.15,0.7359719681505611
CO,O,328.15,0.7513075922323562
CO,O,333.05,0.7692560068122521
CO,O,333.15,0.6466266887344628
CO,O,333.15,0.7523637527160314
CO,O,333.15,0.7674658448022446
CO,O,333.2,0.8118808753078581
CO,O,333.25,0.8713812281922055
CO,O,342.35,0.828962213691482
CO,O,353.05,0.892776424809087
CO,O,358.15,0.8370223909679345
CO,O,362.95,0.8990184206265559
CO,O,363.15,0.8680873954876142
CO,O,368.15,0.8714565325473429
CO,O,372.15,0.8771090579588328
CO,O,372.55,0.9384670104181779
CO,O,373.15,0.7942632010793891
CO,O,373.3,0.8189468855712101
CC(C)O,O,288.15,2.318448599582213
CC(C)O,O,293.15,1.9246325201932555
CC(C)O,O,293.15,1.9761303136858408
CC(C)O,O,298.15,1.8838310771818616
CC(C)O,O,298.15,2.0357325713523444
CC(C)O,O,298.15,2.052611051707279
CC(C)O,O,298.15,2.103244734463406
CC(C)O,O,303.15,2.0955646135898114
CC(C)O,O,303.15,2.211761732345317
CC(C)O,O,303.15,2.2781602195583477
CC(C)O,O,308.15,2.188257829273534
CC(C)O,O,313.15,2.2479419837098726
CC(C)O,O,313.15,2.3925720385852043
CC(C)O,O,317.85,2.1898877283622014
CC(C)O,O,323.15,2.3989129366210244
CC(C)O,O,323.25,2.473896257267948
CC(C)O,O,328.05,2.277249848960313
CC(C)O,O,328.15,2.5198715248238575
CC(C)O,O,333.15,2.2614536756074726
CC(C)O,O,333.15,2.4729184104759336
CC(C)O,O,333.15,2.4880267771242437
CC(C)O,O,337.55,2.2661129989240254
CC(C)O,O,349.15,2.4126764007877006
CC(C)O,O,353.15,2.5294178308833737
CC(C)O,O,355.45,2.530341986462213
CC(C)O,O,357.75,2.461271186551626
CC(C)O,O,373.15,2.5237346576375184
CC(C)=O,O,288.15,1.763593163679481
CC(C)=O,O,293.15,1.9119869222678811
CC(C)=O,O,297.25,2.0736284282280435
CC(C)=O,O,298.01,2.0256068628139237
CC(C)=O,O,298.05,2.0417474626274905
CC(C)=O,O,298.15,1.9386193499389086
CC(C)=O,O,298.15,1.9554969060441638
CC(C)=O,O,298.15,1.9892528496392308
CC(C)=O,O,298.15,2.0230087468676543
CC(C)=O,O,298.15,2.039886972802934
CC(C)=O,O,298.15,2.0567651139720695
CC(C)=O,O,298.65,2.0980081112536744
CC(C)=O,O,303.15,1.9988373222213933
CC(C)=O,O,303.15,2.048636913719601
CC(C)=O,O,303.25,2.080018874990883
CC(C)=O,O,313.15,2.181191170927006
CC(C)=O,O,313.25,2.227636305916045
CC(C)=O,O,317.75,2.118175357471679
CC(C)=O,O,317.75,2.1656868961824753
CC(C)=O,O,318.15,2.1905311149024826
CC(C)=O,O,323.15,1.7177720026337593
CC(C)=O,O,323.25,2.2766886560978694
CC(C)=O,O,333.15,2.358010339099456
CC(C)=O,O,333.15,2.373108792166169
CC(C)=O,O,333.15,2.4637425961714277
CC(C)=O,O,333.25,2.3261746584271314
CC(C)=O,O,373.15,2.4270921384101842
ClC(Cl)Cl,O,283.15,6.6893629228434115
ClC(Cl)Cl,O,285.65,6.459414506516656
ClC(Cl)Cl,O,288.15,6.775230236959799
ClC(Cl)Cl,O,293.15,6.344700835642041
ClC(Cl)Cl,O,293.15,6.705186115903536
ClC(Cl)Cl,O,293.15,6.773850102223314
ClC(Cl)Cl,O,293.15,6.911179409948831
ClC(Cl)Cl,O,295.15,6.961258130499444
ClC(Cl)Cl,O,297.25,6.296398201587514
ClC(Cl)Cl,O,298.15,6.43634906657635
ClC(Cl)Cl,O,298.15,6.6557633355253625
ClC(Cl)Cl,O,298.15,6.807666399357829
ClC(Cl)Cl,O,298.15,6.841422081709653
ClC(Cl)Cl,O,298.15,6.875178366825395
ClC(Cl)Cl,O,298.15,6.962943976426019
ClC(Cl)Cl,O,298.15,7.001764613053414
ClC(Cl)Cl,O,300.45,6.362355463575814
ClC(Cl)Cl,O,303.15,6.343660726336806
ClC(Cl)Cl,O,303.15,6.793510974623917
ClC(Cl)Cl,O,308.15,6.7450681000371
ClC(Cl)Cl,O,308.15,6.797325268455187
ClC(Cl)Cl,O,313.15,6.808525929254551
ClC(Cl)Cl,O,323.15,6.76577803463652
ClC(Cl)Cl,O,323.15,6.818722952157459
CCCO,O,273.35,2.2023812587711507
CCCO,O,283.15,2.145004537863595
CCCO,O,283.15,2.4293587031551884
CCCO,O,293.15,2.350927537904547
CCCO,O,293.15,2.608414010926863
CCCO,O,293.15,3.192055349983759
CCCO,O,297.25,2.8551072087958533
CCCO,O,298.06,2.607021032344376
CCCO,O,298.15,2.4013891620526264
CCCO,O,298.15,2.435138507553879
CCCO,O,298.15,2.468895824515635
CCCO,O,298.15,2.6039185596986583
CCCO,O,298.15,2.637677807082885
CCCO,O,298.15,2.6545579996615247
CCCO,O,298.15,2.7220714424644643
CCCO,O,298.2,2.63595251466178
CCCO,O,303.15,2.585128987589703
CCCO,O,303.15,2.668130577100966
CCCO,O,303.15,2.734529833906589
CCCO,O,303.15,2.867324873684984
CCCO,O,308.15,2.781344032409384
CCCO,O,313.15,2.732300439436753
CCCO,O,313.15,2.828720915250768
CCCO,O,313.15,2.9412074475986603
CCCO,O,313.15,3.101901462147702
CCCO,O,318.15,2.876605210096751
CCCO,O,323.15,2.909384312818762
CCCO,O,323.15,2.9405260705568876
CCCO,O,323.15,3.002817116677202
CCCO,O,323.2,2.814426200981361
CCCO,O,328.15,2.927726414809666
CCCO,O,333.15,2.7359052874715633
CCCO,O,333.15,2.9473715171758355
CCCO,O,333.15,3.007794234731868
CCCO,O,333.15,3.0380012207331575
CCCO,O,333.2,2.9006080764538105
CCCO,O,358.15,2.9921157417794486
CCCO,O,363.15,2.9635086237581327
CCCO,O,368.15,2.923510982036997
CCCO,O,372.15,2.936608400051252
