Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,QSPR_ln_gamma_inf_pred
ClC(Cl)(Cl)Cl,O,283.15,9.243504318354615,10.055490429672702
ClC(Cl)(Cl)Cl,O,283.15,9.518971473178349,10.055490429672702
ClC(Cl)(Cl)Cl,O,285.65,9.132351803114208,10.04929231602981
ClC(Cl)(Cl)Cl,O,288.15,9.318701381646248,10.043094202386918
ClC(Cl)(Cl)Cl,O,293.15,9.130368161817636,10.030697975101138
ClC(Cl)(Cl)Cl,O,293.15,9.280910665345472,10.030697975101138
ClC(Cl)(Cl)Cl,O,293.15,9.4136076932856,10.030697975101138
ClC(Cl)(Cl)Cl,O,293.15,9.414292948896431,10.030697975101138
ClC(Cl)(Cl)Cl,O,293.65,9.566783288998751,10.029458352372558
ClC(Cl)(Cl)Cl,O,298.15,9.215397562802943,10.018301747815354
ClC(Cl)(Cl)Cl,O,298.15,9.246286498749653,10.018301747815354
ClC(Cl)(Cl)Cl,O,298.15,9.319535526001578,10.018301747815354
ClC(Cl)(Cl)Cl,O,298.15,9.412366512044471,10.018301747815354
ClC(Cl)(Cl)Cl,O,298.15,9.414056425624294,10.018301747815354
ClC(Cl)(Cl)Cl,O,303.15,9.193506473640204,10.005905520529572
ClC(Cl)(Cl)Cl,O,303.15,9.220062954124304,10.005905520529572
ClC(Cl)(Cl)Cl,O,303.15,9.261565664051629,10.005905520529572
ClC(Cl)(Cl)Cl,O,303.15,9.268203537420373,10.005905520529572
ClC(Cl)(Cl)Cl,O,303.15,9.4856588289445,10.005905520529572
ClC(Cl)(Cl)Cl,O,304.15,9.384713758920965,10.003426275072416
ClC(Cl)(Cl)Cl,O,308.15,9.10885677578908,9.99350929324379
ClC(Cl)(Cl)Cl,O,313.15,9.076391749466232,9.981113065958006
ClC(Cl)(Cl)Cl,O,313.15,9.484557193474393,9.981113065958006
ClC(Cl)(Cl)Cl,O,314.45,9.441190153874622,9.977890046863703
ClC(Cl)(Cl)Cl,O,325.65,9.302764573165677,9.95012249774355
ClC(Cl)(Cl)Cl,O,337.15,9.094766768725435,9.921611174986252
ClC(Cl)(Cl)Cl,O,348.15,8.913979413376076,9.89433947495753
CC(O)CO,O,296.8,-0.007230074,-1.546980699
CC(O)CO,O,308.3,0.0939911284202421,-1.602196392
CC(O)CO,O,318.8,0.2005625077918943,-1.65261072
CC(O)CO,O,328.5,0.1964216811727361,-1.699183957
CC(O)CO,O,337.9,0.2689655051788501,-1.744316784
CC(O)CO,O,348.3,0.2766236528950256,-1.794250976
CCOCC,O,283.15,3.905725215916968,5.450089793372289
CCOCC,O,288.15,4.063749606692428,5.426082970385152
