Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,QSPR_ln_gamma_inf_pred
O,C1CCCCC1,298.15,7.89492936092867,6.075760295182326
O,C1CCCCC1,298.15,7.970878549719943,6.075760295182326
O,C1CCCCC1,298.15,8.024888327954244,6.075760295182326
O,C1CCCCC1,298.15,8.048519876909335,6.075760295182326
O,C1CCCCC1,298.15,8.08733907462537,6.075760295182326
O,C1CCCCC1,303.15,7.710671244487573,6.01487991050913
O,C1CCCCC1,303.15,7.825209333933533,6.01487991050913
O,C1CCCCC1,308.15,7.536950433049565,5.953999525835933
O,CCCCCCCC,288.15,7.655111249738373,6.047274110263352
O,CCCCCCCC,293.15,7.320070206751462,5.986393725590155
O,CCCCCCCC,293.15,7.40933024706519,5.986393725590155
O,CCCCCCCC,293.15,7.745786046484516,5.986393725590155
O,CCCCCCCC,298.15,7.593515241108064,5.925513340916957
O,CCCCCCCCC,298.15,7.479164111942365,6.0852899832173595
O,CCCCCCCCCCCC,298.15,7.393976686250706,6.564619910118568
O,CCCCOC(C)=O,317.8,2.4237933669295373,3.192385953895702
O,CCCCCCCCCC,298.15,7.4708393312438846,6.2450666255177625
O,CCCCCCCCCC,310.93,7.022252923646991,6.08945636229307
O,O=S1(=O)CCCC1,303.1,1.1365308723674008,0.5206396236891644
O,O=S1(=O)CCCC1,317.15,0.9811791917760142,0.39193848897964223
O,O=S1(=O)CCCC1,317.9,0.9925478215909094,0.3850683216463935
O,O=S1(=O)CCCC1,323.15,0.9001166334973516,0.33697715031365405
O,O=S1(=O)CCCC1,332.6,0.8139080004350787,0.25041304191472147
O,O=S1(=O)CCCC1,333.15,0.7701591463253186,0.24537491920367316
O,O=S1(=O)CCCC1,362.25,0.909185549744108,-0.021187573
O,ClC(Cl)=C(Cl)Cl,292.65,7.282101168031431,7.472542832305366
O,ClC(Cl)=C(Cl)Cl,298.15,6.996791271720095,7.422161605194876
O,ClC(Cl)=C(Cl)Cl,298.15,7.013672639573042,7.422161605194876
O,ClC(Cl)=C(Cl)Cl,303.15,6.94709137009451,7.376360489639886
O,ClC(Cl)=C(Cl)Cl,304.25,7.086411794376143,7.366284244217788
O,ClC(Cl)=C(Cl)Cl,313.15,6.952805123535846,7.284758258529905
O,CCOC(C)=O,328.45,2.3140392430391614,2.8574100702959466
O,CCOC(C)=O,333.15,2.3383382626998634,2.7714052379255456
O,CCOC(C)=O,338.35,2.273543437009322,2.6762509553029723
O,CCOC(C)=O,349.45,2.190368908628324,2.4731331597047905
O,CCOC(C)=O,353.15,2.2168027785792965,2.4054272278387305
O,CCOC(C)=O,373.15,2.117751984893884,2.0394492177519155
O,CCCCCCC,283.15,7.752829239765303,5.948377852636146
O,CCCCCCC,293.15,7.1852885258819805,5.826617083289752
O,CCCCCCC,293.15,7.260824730939261,5.826617083289752
O,CCCCCCC,293.15,7.532045293132494,5.826617083289752
O,CCCCCCC,293.15,7.597270873308033,5.826617083289752
O,CCCCCCC,296.15,7.16280826569203,5.790088852485834
O,CCCCCCC,298.15,7.0791506956425385,5.765736698616554
O,CCCCCCC,298.15,7.080842665085672,5.765736698616554
O,CCCCCCC,298.15,7.261435743940541,5.765736698616554
O,CCCCCCC,298.15,7.301943710362531,5.765736698616554
O,CCCCCCC,298.15,7.585494362139409,5.765736698616554
O,CCCCCCC,298.15,7.69013969081241,5.765736698616554
O,CCCCCCC,313.15,7.047447653720132,5.583095544596963
O,CCCCCCC,313.15,7.262775855208943,5.583095544596963
O,C1CCCC1,283.15,7.99728309516684,5.967131912105373
O,CC=C(C)C,293.15,6.494916552444186,5.391229413
O,CC(C)CC(C)(C)C,293.15,7.220710283411295,5.986393725590155
O,CC(C)CC(C)(C)C,293.15,7.725387431413584,5.986393725590155
O,CC(C)CC(C)(C)C,298.15,7.583043941240769,5.925513340916957
O,CCCCCCCCCCCCCCCC,293.15,7.052807550681276,7.264606863993375
O,CCCCCCCCCCCCCCCC,298.15,7.072379490817057,7.203726479320178
O,CCCCCCCCCCCCCCCC,298.15,7.296860626321727,7.203726479320178
O,CC(C)C(C)C(C)C,298.15,7.664168296160168,5.925513340916957
O,CCCC(C)CC,298.15,7.793281602163257,5.765736698616554
O,CCCCCCCCCCCCC,298.15,7.398651627432426,6.72439655241897
O,CCCCCCCCCCC,298.15,7.421003964760873,6.4048432678181655
O,CCC1CCCC1,293.15,7.340452860931516,6.086028690482099
O,CCC1CCCCC1,310.9,7.118777664885934,6.108575704070336
O,CCCCC1CCCCC1,310.93,7.211017842750907,6.138765439267786
O,CC(C)CCC(C)(C)C,298.15,7.534970968672495,6.0852899832173595
O,CCCC(C)O,333.08,1.0231269581352769,2.054381279943442
O,CCCC(C)O,337.9,0.8098051391099234,1.9661805795125193
O,ClC(Cl)(Cl)Cl,283.15,7.402756352401156,7.146080598697644
O,OCC(O)CO,330.85,-0.428992213,-2.720453878
O,OCC(O)CO,333.15,-0.248298552,-2.762541349
O,OCC(O)CO,333.15,-0.09725016,-2.762541349
O,OCC(O)CO,338.15,-0.214501006,-2.854035851
O,OCC(O)CO,339.75,-0.394440602,-2.883314092
O,OCC(O)CO,343.15,-0.18063498,-2.945530354
O,OCC(O)CO,343.15,-0.107311306,-2.945530354
O,OCC(O)CO,348.15,-0.14673822,-3.037024856
O,OCC(O)CO,349.95,-0.382441204,-3.069962877
O,OCC(O)CO,353.15,-0.16984215,-3.128519359
O,OCC(O)CO,353.15,-0.112845122,-3.128519359
O,OCC(O)CO,358.15,-0.064936467,-3.220013861
O,OCC(O)CO,359.25,-0.37943047,-3.240142652
O,OCC(O)CO,363.15,-0.03133588,-3.311508364
O,OCC(O)CO,364.05,-0.351789753,-3.327977374
O,OCC(O)CO,368.15,0.0021776272477742,-3.403002867
O,OCC(O)CO,373.15,0.0625521746569646,-3.494497369
O,OCC(O)CO,378.15,0.0954647133179519,-3.585991872
O,OCC(O)CO,383.15,0.1282260943841609,-3.677486374
O,CC(O)CO,373.15,-0.124906976,-2.12608184
O,CC(O)CO,383.15,-0.137023196,-2.309070845
O,CC(O)CO,393.15,-0.171800696,-2.49205985
O,CCO,298.15,1.194055792917669,2.7636943131563
O,CCO,373.15,1.0648245236219325,1.3912767753307431
O,CC(=O)O,339.58,0.8333525028885533,0.6696939589982662
O,CC(=O)O,356.11,0.7734913812414355,0.36721313366151165
O,CC(=O)O,366.66,0.7506516456283715,0.17415973334071744
O,CC(=O)O,373.15,0.7439496044903033,0.05539986906754635
O,CO,298.15,0.4784862994533061,2.564916294124929
O,CO,307.75,0.4685212811104118,2.389246849283257
O,CO,317.85,0.5786169737149491,2.2044279541894163
O,CO,327.85,0.5351005881778923,2.021438949146008
O,CO,333.15,0.5696566380296487,1.9244547764730022
O,CO,337.05,0.5598214810648546,1.8530890645060722
O,CO,373.15,0.628859294677401,1.192498756299372
O,CC(C)O,288.15,1.405398214918962,2.848479704203399
O,CC(C)O,318.35,1.260010924204211,2.295852908972307
O,CC(C)O,328.15,1.228142353313121,2.1165236840297688
O,CC(C)O,337.95,1.097217983743282,1.9371944590872303
O,CC(C)O,355.51,1.1232463629597824,1.615865766231007
O,CC(C)O,363.15,1.1291641251959492,1.4760621663778437
O,CC(C)O,373.15,1.1108109152916583,1.2930731613344353
O,CC(C)O,373.15,1.5153799482804002,1.2930731613344353
O,ClC(Cl)Cl,308.15,4.7870166299338095,5.6553404748319025
O,CS(C)=O,368.3,-0.959814289,-2.593645213
O,CN(C)C=O,353.65,-0.036703404,-0.701290882
O,CN(C)C=O,358.15,-0.026169453,-0.783635934
O,CN(C)C=O,363.05,-0.009050836,-0.873300546
O,CN(C)C=O,367.65,0.013952213618004,-0.957475489
O,CN(C)C=O,368.15,-0.00910331,-0.966624939
O,CN(C)C=O,378.15,0.0097919024624692,-1.149613944
O,CN(C)C=O,382.95,0.2795843744141646,-1.237448667
O,CN(C)C=O,397.75,0.1975549374345439,-1.508272394
O,CCCO,298.15,1.4188801308674042,2.7694824027994223
O,CCCO,303.05,1.2868524072810656,2.6798177903281513
O,CCCO,313.25,1.2045746231966257,2.4931690051838764
O,CCCO,323.15,1.1401955933182522,2.312009890190904
O,CCCO,333.15,1.096202721324311,2.129020885147497
O,CCCCO,298.15,1.3349431703195331,2.7587754963287203
O,CCCCO,308.2,1.6863396925550702,2.5748715462600966
O,CCCCO,323.23,1.6535504870524214,2.2998390716798554
O,CCCCO,333.15,1.2586853962471345,2.1183139786767953
O,CCCCO,343.15,1.1963014546213606,1.9353249736333886
O,CCCCO,353.15,1.1406687209564528,1.7523359685899802
O,CCCCO,363.15,1.132475728506433,1.5693469635465718
O,CCCCO,363.15,1.3957594257355896,1.5693469635465718
O,CCCCO,372.15,1.0950927690853998,1.4046568590075061
O,CCCCO,373.15,1.1810674686043026,1.3863579585031651
O,CCCCO,373.15,1.2350091552313354,1.3863579585031651
O,CCCCO,373.15,1.3968385749955616,1.3863579585031651
O,CCCCCO,313.15,1.4665970349992845,2.5065750745205584
O,CCCCCO,348.55,1.535181929327298,1.858793996666897
O,CCCCCO,362.45,1.526792988597672,1.6044392796565603
O,CCCCCO,369.15,1.476169342411549,1.4818366462774772
O,CC#N,297.15,2.1070226614406007,3.0980705031539486
O,C=C(Cl)Cl,293.15,6.130041004464673,6.660281550085755
O,CC(C)(C)O,323.13,1.5835168456026996,2.246525835214161
O,CCC(C)(C)C,298.15,7.819977746680338,5.605960056316152
O,CCC(C)C,288.45,8.235835080501143,5.564291360281752
O,CCC(C)C,293.15,7.882296050877738,5.507063798688947
O,CCC(C)C,293.65,7.820082165189818,5.500975760221627
O,CCC(C)C,294.45,7.861137535819378,5.491234898673916
O,CCC(C)C,294.95,7.852155219254855,5.485146860206596
O,CCC(C)C,298.15,7.862501046337841,5.446183414015749
O,C=CC(=C)C,293.15,6.092162459706552,6.700572164001213
O,C=CC(=C)C,313.15,5.630892734515416,6.334594153914398
O,CC(C)CO,323.15,1.6764421412145742,2.3938999146063082
O,CCC(C)O,323.18,1.5230517944747506,2.2462473014071165
O,CCC(C)O,332.25,1.273408377805898,2.0802762738327445
O,CCC(C)O,350.25,1.283716082559567,1.7508960647546115
O,CCC(C)O,357.85,1.311298687383372,1.6118244209216215
O,CCC(C)=O,298.15,2.283188183383314,2.968919463905298
O,CCC(C)=O,323.15,1.993751563984756,2.5114469512967794
O,CCC(C)=O,333.15,1.976020810090479,2.328457946253371
O,CCC(C)=O,333.15,2.00623085914904,2.328457946253371
O,CCC(C)=O,343.15,1.948226036744644,2.1454689412099626
O,CCC(C)=O,353.15,1.939398997439656,1.962479936166556
O,CCC(C)=O,373.15,1.7690468118986475,1.5965019260797408
O,CCC(C)=O,373.15,1.8634458211487064,1.5965019260797408
O,ClCC(Cl)Cl,323.15,4.084504641940128,4.478980553817717
O,CNC(C)=O,318.43,-0.296943494,-1.266787396
O,CNC(C)=O,331.9,-0.143677548,-1.513273586
O,CNC(C)=O,363.15,-0.100426044,-2.085114227
O,CCC(C)CC,295.5,8.078604504794848,5.638226660192946
O,CCC(C)CC,299.1,7.874035455601207,5.594392783228244
O,CC1CCCC1,303.15,6.950891393859272,5.804491278835302
O,OCCO,343.25,0.2275896527406789,-1.456506539
O,OCCO,348.05,0.2047921904213219,-1.544341262
O,OCCO,353.45,0.2004643105298824,-1.643155324
O,CCCC(C)C,298.15,7.752008509183115,5.605960056316152
O,CC1CCCCC1,303.15,6.932974582114984,6.079489043816569
O,CC1CCCCC1,310.93,7.177965605521878,5.984759165265073
O,CCCCC,297.95,7.640810436475499,5.448618629402677
O,CCCCC,297.95,7.64925919646216,5.448618629402677
O,CCCCC,298.15,7.641847646473841,5.446183414015749
O,C1CCOC1,308.35,2.416779474906161,3.6682721025667657
O,C1CCOC1,317.65,2.341190232105112,3.498092327876398
O,C1CCOC1,328.05,2.286752415010672,3.307783762631253
O,C1CCOC1,338.05,2.2363566113439464,3.1247947575878463
O,CCCCCC,283.15,8.076695547483276,5.788601210335743
O,CCCCCC,293.15,7.900695892476207,5.66684044098935
O,CCCCCC,298.15,7.861411157356256,5.605960056316152
O,OCCCCO,313.91,0.1742221785373049,-2.033420992
O,OCCCCO,314.99,0.0837435434328594,-2.053183805
O,OCCCCO,331.15,-0.13149119,-2.348894037
O,OCCCCO,332.81,0.2107389311554496,-2.379270212
O,OCCCCO,334.32,0.3575205862824363,-2.406901552
O,OCCCCO,340.65,-0.064058636,-2.522733592
O,OCCCCO,353.15,0.043222311453269,-2.751469848
O,OCCCCO,363.15,0.0583538101800715,-2.934458853
O,OCCCCO,373.15,0.0622985141942241,-3.117447858
O,OCCCCO,383.15,0.0425421142656691,-3.300436863
O,OCCCCO,393.15,0.0262621119888893,-3.483425868
O,OCCCCO,404.15,-0.028049741,-3.684713774
O,C1CCCCC1,301.65,7.264198196004706,6.0331440259110884
O,C1CCCCC1,303.15,7.00850518208228,6.01487991050913
O,C1CCCCC1,303.25,7.293901642703902,6.013662302815665
O,C1CCCCC1,305.65,6.976730816985532,5.984439718172531
O,C1CCCCC1,313.15,6.987545647128425,5.893119141162735
O,C1CCCCC1,313.15,7.029326685247924,5.893119141162735
O,C1CCCCC1,313.15,7.40053505141701,5.893119141162735
O,c1ccncc1,343.15,1.0591782194227026,3.157565737080329
O,c1ccncc1,353.15,1.0967605753046352,3.0659635059703483
O,c1ccncc1,363.15,1.0383773825693057,2.9743612748603674
O,c1ccncc1,373.15,1.0263354594611644,2.8827590437503874
O,CCCCCCCO,323.34,1.9976130738185989,3.261045395788692
O,CCCCCCCO,332.78,1.9274173492747024,3.138922745565891
O,CCCCCCCCO,322.94,2.117880699498297,3.415874444650595
O,CCCCCCCCO,332.8,2.179480296856685,3.288318371430594
O,CCC(C)CO,358.25,1.1701015970174458,1.7738915926608954
O,CCC(C)CO,371.55,1.1920722730675486,1.5305162159531633
O,CCC(C)CO,381.95,1.2665165246707082,1.3402076507080203
O,CCOC(C)=O,309.45,2.501575286293996,3.2050891798784207
O,CCOC(C)=O,313.15,2.473972084735221,3.1373832480123607
O,CCOC(C)=O,318.55,2.376569486083618,3.038569185288919
O,CCCCCCC,295.65,8.049015094871265,5.796176890953153
O,Cl/C=C/Cl,285.15,5.947536170274208,5.716837932071603
O,Cl/C=C/Cl,285.15,5.965184738087501,5.716837932071603
O,C1CCCC1,293.15,7.492275503761485,5.845371142758979
O,C1CCCC1,303.15,6.943093464871193,5.723610373412585
O,CC(C)C(C)(C)C,283.15,8.055087888110823,5.948377852636146
O,CC(C)C(C)(C)C,293.15,7.434717996648274,5.826617083289752
O,CC=C(C)C,313.15,6.0814514926991405,5.147707874256211
O,CC(C)CC(C)(C)C,283.15,7.844918653716874,6.108154494936549
O,CC(C)CC(C)(C)C,283.15,7.88757277033561,6.108154494936549
O,CCC(C)CC(C)C,283.15,8.00302197739915,6.108154494936549
O,CCC(C)CC(C)C,293.15,7.389014080474423,5.986393725590155
O,CCCCC(C)C,293.15,7.466404886029378,5.826617083289752
O,CC(C)CCCC(C)C,283.15,7.8821790606953455,6.2679311372369515
O,CC(C)CCCC(C)C,293.15,7.343678461241034,6.146170367890557
O,CCCCC1CCCCC1,310.93,7.024898109751097,6.138765439267786
O,CCCCC1CCCC1,293.15,7.314699292969701,6.379283396123675
O,CCCCCC(C)CC,283.15,7.940747573042109,6.2679311372369515
O,CCCCCC(C)CC,293.15,7.387560713200133,6.146170367890557
O,CCCCCCC(C)C,283.15,7.902539210970497,6.2679311372369515
O,CCCCCCC(C)C,293.15,7.355372696349389,6.146170367890557
O,CC(C)C1CCCC1,293.15,7.362239096569835,6.219506753823273
O,CC(C)C1CCCC1,303.15,6.919159997245573,6.097745984476878
O,CCCC(C)O,323.18,1.5100749311131565,2.2355403949364145
O,ClC(Cl)(Cl)Cl,298.15,6.876939306833555,6.871597091132532
O,ClC(Cl)Cl,298.15,5.227057641975661,5.83832947987531
O,CCCCCO,298.15,1.0304512139993895,2.78105858208567
O,c1ccccc1,298.15,5.825336170208778,6.28048298009937
O,CC(Cl)(Cl)Cl,298.15,5.83635048671198,6.204907710253624
O,CC(Cl)Cl,298.15,5.231103269246705,5.455420816280892
O,C[N+](=O)[O-],298.15,2.625074306951232,3.126921512622106
O,CC(C)C(C)C,298.15,7.372608165900305,5.605960056316152
O,ClC(Cl)C(Cl)Cl,298.15,4.528915295468919,5.304548792118702
O,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,298.15,7.999386590566106,8.887318501899081
O,CCCCC(=O)CC,298.15,3.136771660518828,3.1978517888877356
O,BrCCBr,298.15,5.157513881956047,5.622172021752274
O,ClCCCl,298.15,4.563865783461136,5.109767986628276
O,OCCO,333.15,-0.203340924,-1.271687644
O,Cc1ccccc1,298.15,5.87524528811528,6.425824824607089
O,CCCCC,298.15,8.153548299439315,5.446183414015749
O,CCCCCCCC,298.15,7.4358509139130815,5.925513340916957
O,ClC(Cl)=C(Cl)Cl,298.15,7.17771371154501,7.422161605194876
O,CCOC(C)=O,298.15,1.956724321682644,3.4118667555774707
O,CCCCCCC,298.15,7.409505848728408,5.765736698616554
O,CC=C(C)C,298.15,6.507829798763248,5.330349028275803
O,CCC1CCCC1,298.15,7.220176304413972,6.0251483058089015
O,CCOCC,298.15,2.980826735917011,4.435947669814958
O,BrCBr,298.15,4.992824282216802,5.93280325306103
O,CCBr,298.15,5.53547032623531,6.062522854790762
O,ClCCl,298.15,4.808421185963076,5.539768236092806
O,FC(Cl)(Cl)Cl,298.15,7.084360528779983,6.54145612477392
O,ClC(Cl)C(Cl)(Cl)Cl,298.15,5.53984292871742,6.236838909488464
O,FC(F)(Cl)C(F)(Cl)Cl,298.15,7.047169334764815,5.661672106052679
O,CC(C)C=O,298.15,2.3565523092639884,3.4520684427554773
O,C=C(C)C(=O)OC,298.15,2.755906596111551,4.017193327474146
O,CCCCOC(=O)c1ccccc1C(=O)OCCCC,298.15,2.851064818803312,2.110386025981555
O,Cc1cccc(C)c1N,298.15,3.3740591142278222,4.777932727476452
O,c1ccc2ncccc2c1,333.15,0.5788019787750849,5.598486955022818
O,CCN(CC)c1ccccc1,283.15,6.332652433270301,6.4347099793898614
O,CCC(=O)c1ccccc1,298.15,3.0812859219066486,4.484453389520308
O,CCOC(=O)c1ccccc1,298.15,3.0849786510681856,4.711398729822999
O,Cc1ccccc1C,298.15,5.946046067416689,6.609106542843925
O,Cc1ccc(C)c(N)c1,298.15,2.9822518191401124,4.7391037969790055
O,CCOC(=O)C(=O)OCC,298.15,3.3208510167783234,1.4943008879744468
O,CC(C)COC(=O)C(C)C,298.15,3.412021917745303,3.8854407139274
O,C=C(C)C(=O)OCCCC,298.15,3.083477547841773,4.291189784663143
O,O=Cc1ccco1,323.15,1.3220837862020791,2.8487354991338805
O,CC(C)(C)c1ccccc1,298.15,5.979725918202592,6.990244311088656
O,CC(C)c1ccccc1,298.15,5.952549587207411,6.815336056193525
O,CC(=O)c1ccccc1,368.775,1.538085831628634,3.641496059807322
O,Cc1ccc(C(C)C)cc1,298.15,5.934177007284574,6.910600979170036
O,CC(C)c1ccc(C(C)C)cc1,298.15,6.034758683366218,7.3440782936655875
O,CCc1ccccc1,298.15,5.92558913272674,6.640512430740486
O,C=Cc1ccccc1,298.15,5.650008913967139,6.949770544123181
O,N#Cc1ccccc1,298.15,2.9187702324173626,4.072008480840484
O,O=Cc1ccccc1,298.15,3.1881939121741567,4.517856060341623
O,COc1ccccc1,298.15,4.456044692071107,5.468920132710795
O,CCCCN(CCCC)CCCC,298.15,4.573579410686887,4.5550877426679355
O,CCCCc1ccccc1,298.15,6.009400236681516,6.968966734600855
O,Cc1ccc(C#N)cc1,303.15,3.5297870004782816,4.2031243565739596
O,Cc1ccc(C=O)cc1,298.15,3.0290606610024344,4.980873479608043
O,CCOC(=O)CC,298.15,2.657787953950103,3.524622423621576
O,CCC(C)OC(C)=O,298.15,2.672761480856375,3.4025387900483945
O,CCCC(=O)OCC,298.15,2.9625683807755574,3.5106959388341465
O,CCOC(=O)OCC,298.15,2.779793952114886,2.840904110185588
O,CCCOC(=O)CCC,298.15,2.9091062768412965,3.704069344025167
O,CCC(=O)OCCC(C)C,298.15,3.6927046287960335,3.870823056830819
O,CCCC(=O)OCCC(C)C,298.15,3.809489600834309,4.000093053023864
O,CCCOC(=O)CC,298.15,2.8382886780259398,3.574799347832121
O,Cc1ccc(C)cc1,298.15,5.923592475861147,6.562962464657291
O,CCCCCC(=O)OC,298.15,3.253107188816501,3.637015618329503
O,CCCCCCC(=O)OC,298.15,2.987357301171801,3.80705434272274
O,C=CC#N,298.15,2.3761607806523646,3.6467645830878954
O,C=CCO,298.15,1.4847178712959834,2.768858287033968
O,CN(C)CCO,298.15,-0.204492322,-0.288555997
O,C=COC(C)=O,293.15,2.94002927067774,3.989301619537086
O,CC(C)CC(C)O,298.15,1.2824410424032373,2.8065750392219826
O,CC(C)OC(C)C,298.15,3.2736935013186392,4.066537696739235
O,CC(=O)OC(C)C,298.15,2.3305601174495574,3.410766806188123
O,Cc1cccc(C)c1,298.15,5.923694142389671,6.600733079502222
O,CCOC(=O)CC(C)C,298.15,3.190817855812881,3.616296559339511
O,Cc1cc(C)cc(C)c1,298.15,5.96496912292892,6.771539232168594
O,CC(C)CC(=O)CC(C)C,298.15,3.6412216485843993,3.607933280067563
O,CCCCOC(=O)CCC,298.15,3.3534661566187274,3.853723704318308
O,CCCOC(C)=O,298.15,2.401760520367848,3.4628911363641723
O,C=CCC#N,382.15,1.8006300093962426,1.6475789341849687
O,CCOC=O,298.15,2.1544249341128148,3.665428034283398
O,CC(=O)CCC(C)C,298.15,2.5832576561349527,3.0546926189053085
O,CC(=O)OCC(C)C,298.15,2.6907480450206136,3.4229231541484904
O,CC(C)CCOC=O,298.15,2.9625683807755574,3.6850006604974936
O,CCCOC=O,298.15,2.829388391182918,3.7473180586988004
