Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,QSPR_ln_gamma_inf_pred
O,ClC(Cl)(Cl)Cl,283.15,7.047317201354629,7.146080598697644
O,ClC(Cl)(Cl)Cl,293.15,7.0726763210959245,6.963091593654236
O,ClC(Cl)(Cl)Cl,293.15,7.244334652721107,6.963091593654236
O,ClC(Cl)(Cl)Cl,297.15,7.070452192639792,6.889895991636873
O,ClC(Cl)(Cl)Cl,298.15,6.901267277343608,6.871597091132532
O,ClC(Cl)(Cl)Cl,298.15,6.918141158534555,6.871597091132532
O,ClC(Cl)(Cl)Cl,298.15,7.053170775080112,6.871597091132532
O,ClC(Cl)(Cl)Cl,298.15,7.070044182025856,6.871597091132532
O,ClC(Cl)(Cl)Cl,298.15,7.086921864082791,6.871597091132532
O,ClC(Cl)(Cl)Cl,298.15,7.103807142224351,6.871597091132532
O,ClC(Cl)(Cl)Cl,303.15,6.985891555184846,6.780102588610829
O,ClC(Cl)(Cl)Cl,303.15,7.019090908042805,6.780102588610829
O,CC(C)=O,298.15,1.9404438072234067,2.9171231331702963
O,CC(C)=O,307.85,1.7948995340602494,2.739623798278192
O,CC(C)=O,318.05,1.742718023490054,2.5529750131339153
O,CC(C)=O,323.15,2.155458850603736,2.459650620561778
O,CC(C)=O,328.45,1.6615691556444534,2.3626664478887722
O,CC(C)=O,333.15,1.6983860793014285,2.276661615518371
O,CC(C)=O,333.15,1.7739094343818835,2.276661615518371
O,CC(C)=O,373.15,1.5560687807758948,1.544705595344741
O,ClC(Cl)Cl,293.15,5.300524928090037,5.929823982397014
O,CCCCO,383.15,1.0715390947411765,1.2033689534597585
O,CCCCCO,323.1,0.9152942355365596,2.324501014502367
O,CCCCCO,323.15,1.4278368959885894,2.3235860694771517
O,CCCCCO,333.15,1.3503044233867354,2.140597064433745
O,CCCCCO,343.15,1.281047727866106,1.9576080593903367
O,CCCCCO,373.45,0.8909195891342591,1.4031513741088126
O,c1ccccc1,293.15,5.507077977494793,6.32628409565436
O,CC(Cl)(Cl)Cl,293.15,6.026894430289861,6.2964022127753285
O,CC(Cl)(Cl)Cl,308.15,5.745490476555972,6.021918705210217
O,CC(Cl)Cl,293.15,5.148191907970399,5.546915318802596
O,CC(Cl)Cl,308.15,4.850896809302559,5.272431811237484
O,C[N+](=O)[O-],314.25,2.5938283170119134,2.832309214502221
O,C[N+](=O)[O-],322.45,2.469293733382824,2.6822582303666245
O,C[N+](=O)[O-],333.05,2.467667234654983,2.488289885020613
O,CCC(C)C,293.15,7.348439514825745,5.507063798688947
O,CCC(C)C,293.15,7.7072065299121215,5.507063798688947
O,ClCC(Cl)Cl,293.15,4.84759073628404,5.027947568947939
O,ClCC(Cl)Cl,308.15,4.449703974561796,4.753464061382827
O,ClC=C(Cl)Cl,293.15,5.994863763221186,6.663709145598685
O,ClC=C(Cl)Cl,308.15,5.868796788092092,6.389225638033573
O,ClC=C(Cl)Cl,323.15,5.6403029481413895,6.114742130468462
O,BrC(Br)C(Br)Br,298.15,6.055966348821404,7.240380765824753
O,CC(C)C(C)C,293.15,7.550024868211726,5.66684044098935
O,CC(C)C(C)C,298.15,7.751393594252053,5.605960056316152
O,CC(C)C(C)C,303.15,6.994584139316616,5.545079671642955
O,ClC(Cl)C(Cl)Cl,293.15,4.4968541961046204,5.350349907673692
O,ClC(Cl)C(Cl)Cl,308.15,4.19357885081249,5.212946561008721
O,CCC(C)CC,298.15,7.706720870349922,5.605960056316152
O,CC1CCCC1,283.15,7.982549489210053,6.0480128175280905
O,CC1CCCC1,293.15,7.400748852588844,5.926252048181697
O,CCCCC(=O)CC,298.15,3.0573070320828424,3.1978517888877356
O,BrCCBr,308.15,5.404090796944837,5.530569790642294
O,BrCCBr,323.15,5.138553462010824,5.393166443977323
O,ClCCCl,293.15,4.800860317187589,5.20126248914998
O,ClCCCl,308.15,4.330492521818207,4.926778981584868
O,OCCO,312.87,-0.027538734,-0.900585942
O,OCCO,313,-0.207346485,-0.902964799
O,OCCO,323,-0.201682985,-1.085953804
O,OCCO,333,-0.206838455,-1.268942809
O,OCCO,343,-0.192825329,-1.451931814
O,OCCO,373.15,-0.20463588,-2.003643664
O,CC(C)CC(C)C,298.15,7.70771891480528,5.765736698616554
O,CC1CCCCC1,283.15,8.007200553954139,6.323010582509357
O,CC1CCCCC1,293.15,7.366375613672448,6.201249813162963
O,Oc1ccccc1,455.01,0.3873486584151711,2.2667811956711805
O,CCCCC,288.15,8.315696154628117,5.567944183362144
O,CCCCC,298.15,7.812313452779256,5.446183414015749
O,CCCCC,311.48,7.819218376559413,5.283876308477005
O,COCCO,323.78,0.4504575940269928,0.6452497135482229
O,COCCO,342.27,0.4715025053694714,0.30690304322296313
O,COCCO,362.96,0.5258876202426481,-0.071701208
O,CCCCCC,293.15,7.129946376856541,5.66684044098935
O,CCCCCC,293.15,7.198609813849256,5.66684044098935
O,CCCCCC,293.15,7.540212523092693,5.66684044098935
O,CCCCCC,293.15,7.634622494744645,5.66684044098935
O,CCCCCC,298.15,7.314566147814657,5.605960056316152
O,CCCCCC,298.15,7.417520340550807,5.605960056316152
O,CCCCCC,298.15,7.579551133631047,5.605960056316152
O,CCCCCC,298.15,7.750016189494872,5.605960056316152
O,CCCCCC,303.15,7.062799844888453,5.545079671642955
O,CCCCCC,303.15,7.125878248239475,5.545079671642955
O,CCCCCC,303.15,7.155755331895206,5.545079671642955
O,C1CCCCC1,283.15,8.070968586834773,6.2584014492019175
O,C1CCCCC1,288.15,8.17870893203407,6.197521064528721
O,C1CCCCC1,292.15,7.671160530326755,6.148816756790163
O,C1CCCCC1,293.15,7.4723415507138204,6.136640679855524
O,C1CCCCC1,293.15,7.664600002156324,6.136640679855524
O,C1CCCCC1,293.15,7.669747320075953,6.136640679855524
O,C1CCCCC1,293.15,7.690350033259834,6.136640679855524
O,C1CCCCC1,293.15,8.196742718134235,6.136640679855524
O,C1CCCCC1,298.15,7.506734627010588,6.075760295182326
