Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
CCCCCCC,ClC(Cl)(Cl)Cl,328.3,0.23901690047049992
CCCCCCC,ClC(Cl)(Cl)Cl,349.1,0.13976194237515863
CC(C)C(C)C(C)C,ClC(Cl)(Cl)Cl,298.2,0.3074846997479607
CC(C)CCC(C)C,ClC(Cl)(Cl)Cl,298.2,0.3220834991691132
COC(C)(C)C,ClC(Cl)(Cl)Cl,308.2,-0.23572233352106983
CCC1CCCCC1,ClC(Cl)(Cl)Cl,298.2,0.20701416938432612
CO,CCOCC,298.2,1.5518087995974639
CO,CCOCC,338.2,1.3402504226184837
CO,CCOCC,388.2,1.0577902941478545
CC(C)=O,CCOCC,298.1,0.8197798314933114
CC(C)=O,CCOCC,338.2,0.7178397931503168
CC(C)=O,CCOCC,388.3,0.6259384308664954
CC#N,CCOCC,298.1,1.3787660946990992
CC#N,CCOCC,338.2,1.199964782928397
CC#N,CCOCC,388.2,0.9820784724121582
C[N+](=O)[O-],CCOCC,298.2,1.3686394258811698
Cc1ccccc1,CCOCC,298.2,0.1823215567939546
CCCCCCCC,CCOCC,298.2,0.4252677354043441
C1COCCO1,CCOCC,298.2,0.6729444732424258
ClC(Cl)(Cl)Cl,Nc1ccccc1,293.2,1.5686159179138452
CCO,Nc1ccccc1,298.2,0.8754687373538999
CCO,Nc1ccccc1,313.2,0.9895411936137477
CCO,Nc1ccccc1,313.2,0.9321640810304452
CCO,Nc1ccccc1,328.2,0.8960880245566357
CCO,Nc1ccccc1,350.8,0.7747271675523681
CCO,Nc1ccccc1,386.7,0.6312717768418578
CO,Nc1ccccc1,293.2,0.8712933659434193
CC(C)=O,Nc1ccccc1,386.7,0.09531017980432493
CC(C)=O,Nc1ccccc1,350.8,-0.06187540371808753
CC(C)=O,Nc1ccccc1,313.2,-0.35667494393873245
CC(C)=O,Nc1ccccc1,277.4,-0.4780358009429998
CC(C)=O,Nc1ccccc1,293.2,-0.2231435513142097
ClC(Cl)Cl,Nc1ccccc1,293.2,0.4054651081081644
c1ccccc1,Nc1ccccc1,293.2,0.7975071958841882
c1ccccc1,Nc1ccccc1,293.2,0.8064758658669485
c1ccccc1,Nc1ccccc1,298.2,0.7884573603642703
c1ccccc1,Nc1ccccc1,298.2,0.8064758658669485
c1ccccc1,Nc1ccccc1,298.2,0.85015092936961
c1ccccc1,Nc1ccccc1,333.2,0.6931471805599453
c1ccccc1,Nc1ccccc1,373.2,0.5877866649021191
CCBr,Nc1ccccc1,293.2,0.7608058290337602
CCI,Nc1ccccc1,293.2,1.0402767116551463
CC#N,Nc1ccccc1,293.2,-0.020202707317519466
CC#N,Nc1ccccc1,343.2,0.02955880224154443
CC#N,Nc1ccccc1,393.2,0.09531017980432493
ClCCl,Nc1ccccc1,293.2,0.34358970439007686
S=C=S,Nc1ccccc1,293.2,1.2612978709452054
C[N+](=O)[O-],Nc1ccccc1,298.2,0.131028262406404
CCC(C)C,Nc1ccccc1,293.2,3.0101281538377234
CNC(C)=O,Nc1ccccc1,413.5,0.23111172096338664
CC1CCCC1,Nc1ccccc1,293.2,2.617395832834079
Cc1cccc(O)c1,Nc1ccccc1,453.2,-0.2484613592984996
Cc1cccc(O)c1,Nc1ccccc1,453.2,-0.19845093872383832
Cc1cccc(O)c1,Nc1ccccc1,437.9,-0.2613647641344075
Cc1cccc(O)c1,Nc1ccccc1,437.9,-0.2231435513142097
Cc1cccc(O)c1,Nc1ccccc1,422.9,-0.2613647641344075
Cc1cccc(O)c1,Nc1ccccc1,422.9,-0.2613647641344075
Cc1cccc(O)c1,Nc1ccccc1,407.9,-0.2876820724517809
Cc1cccc(O)c1,Nc1ccccc1,407.9,-0.2744368457017603
Cc1cccc(O)c1,Nc1ccccc1,408.2,-0.2744368457017603
CC1CCCCC1,Nc1ccccc1,293.2,2.8622008809294686
CC1CCCCC1,Nc1ccccc1,293.2,2.863913698933143
Cc1ccccc1,Nc1ccccc1,298.2,1.0438040521731147
Clc1ccccc1,Nc1ccccc1,293.2,0.9516578757114463
Clc1ccccc1,Nc1ccccc1,343.2,0.7323678937132266
Clc1ccccc1,Nc1ccccc1,393.2,0.5822156198526637
CCCCC,Nc1ccccc1,293.2,2.9816333491744893
CCCCC,Nc1ccccc1,293.2,3.0007198150650303
C=CCCC,Nc1ccccc1,293.2,2.341805806147327
CCCCCC,Nc1ccccc1,293.2,3.2136622578153133
CCCCCC,Nc1ccccc1,293.2,3.246490991901174
CCCCCC,Nc1ccccc1,298.2,3.2676659890376327
CCCCCC,Nc1ccccc1,298.2,3.282038399825841
CCCCCC,Nc1ccccc1,298.2,3.295836866004329
CCCCCC,Nc1ccccc1,298.2,3.2991646560970036
CCCCCC,Nc1ccccc1,323.2,2.6390573296152584
CCCCCC,Nc1ccccc1,373.2,2.0794415416798357
CCCCCCCC,Nc1ccccc1,298.2,3.630720539940404
C1COCCO1,Nc1ccccc1,298.2,-0.9675840262617056
CCOC(C)=O,Nc1ccccc1,293.2,0.36464311358790924
CCCCCCC,Nc1ccccc1,293.2,3.4585224482814247
CCCCCCC,Nc1ccccc1,293.2,3.459466289786131
C1CCCC1,Nc1ccccc1,293.2,2.217027204632399
CC(C)CC(C)(C)C,Nc1ccccc1,293.2,3.673765816303888
CC(C)CC(C)(C)C,Nc1ccccc1,293.2,3.674526947889536
C=CCCCC,Nc1ccccc1,293.2,2.5257286443082556
ClC(Cl)(Cl)Cl,CCO,298.2,1.6370530794670737
ClC(Cl)(Cl)Cl,CCO,313.2,1.4883995840570443
ClC(Cl)(Cl)Cl,CCO,333.2,1.3987168811184478
Nc1ccccc1,CCO,313.2,1.128171090909654
Nc1ccccc1,CCO,350.8,1.0402767116551463
Nc1ccccc1,CCO,386.7,0.8919980393051105
CC(C)=O,CCO,293.2,0.8671004876833833
CC(C)=O,CCO,303.2,0.9932517730102834
CC(C)=O,CCO,313.2,0.9162907318741551
CC(C)=O,CCO,314.3,0.8878912573524571
CC(C)=O,CCO,318.5,0.8544153281560676
CC(C)=O,CCO,322.5,0.7747271675523681
CC(C)=O,CCO,323.0,0.7975071958841882
CC(C)=O,CCO,323.2,0.8329091229351039
CC(C)=O,CCO,323.2,0.7654678421395714
CC(C)=O,CCO,335.8,0.7080357930536959
CC(C)=O,CCO,348.3,0.6523251860396901
CC(C)=O,CCO,351.5,0.5481214085096876
ClC(Cl)Cl,CCO,298.2,0.5364933705145685
ClC(Cl)Cl,CCO,323.2,0.7654678421395714
ClC(Cl)Cl,CCO,323.2,0.7608058290337602
CCCO,CCO,313.2,0.01980262729617973
CCCCO,CCO,313.2,0.09531017980432493
c1ccccc1,CCO,296.8,1.6863989535702288
c1ccccc1,CCO,298.2,1.791759469228055
c1ccccc1,CCO,298.2,1.6505798557652755
c1ccccc1,CCO,298.2,1.4906543764441336
c1ccccc1,CCO,313.2,1.449269160281279
c1ccccc1,CCO,318.8,1.62924053973028
c1ccccc1,CCO,333.2,1.7047480922384253
c1ccccc1,CCO,334.7,1.547562508716013
c1ccccc1,CCO,346.4,1.4816045409242156
c1ccccc1,CCO,353.2,1.4816045409242156
c1ccccc1,CCO,373.2,1.6094379124341003
CCBr,CCO,293.2,1.4327007339340465
CCI,CCO,293.2,1.8196988379172965
CC#N,CCO,293.2,1.545432582458188
CC#N,CCO,323.2,1.308332819650179
CC#N,CCO,343.2,1.1184149159642893
CC#N,CCO,393.2,0.7371640659767196
ClCCl,CCO,298.2,0.9162907318741551
C[N+](=O)[O-],CCO,298.2,2.050270164379556
C[N+](=O)[O-],CCO,298.2,1.9198594718553708
C[N+](=O)[O-],CCO,348.2,1.541159071680806
C[N+](=O)[O-],CCO,398.2,1.0885619528146082
CC(C)(C)O,CCO,313.2,-0.2484613592984996
CC(C)CO,CCO,313.2,0.06765864847381486
CC(C)CO,CCO,351.4,0.19885085874516517
CC(C)CO,CCO,351.5,0.19885085874516517
CC(C)CO,CCO,424.0,0.3220834991691132
CC(C)CO,CCO,424.0,0.3220834991691132
CNC(C)=O,CCO,313.2,-0.19845093872383832
CC1CCCC1,CCO,313.2,2.0831845279586703
Cc1ccc(C)cc1,CCO,313.2,1.9615022438151495
CCCC(C)C,CCO,298.2,2.325324579963535
CC(C)CC(C)C,CCO,298.2,2.47232786758114
