Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_inf_pred_mosced
O,ClC(Cl)(Cl)Cl,283.15,7.047317201354629,10.01472266524378
O,ClC(Cl)(Cl)Cl,293.15,7.0726763210959245,9.708370957051915
O,ClC(Cl)(Cl)Cl,293.15,7.244334652721107,9.708370957051915
O,ClC(Cl)(Cl)Cl,297.15,7.070452192639792,9.58270056005362
O,ClC(Cl)(Cl)Cl,298.15,6.901267277343608,9.551072803744088
O,ClC(Cl)(Cl)Cl,298.15,6.918141158534555,9.551072803744088
O,ClC(Cl)(Cl)Cl,298.15,7.053170775080112,9.551072803744088
O,ClC(Cl)(Cl)Cl,298.15,7.070044182025856,9.551072803744088
O,ClC(Cl)(Cl)Cl,298.15,7.086921864082791,9.551072803744088
O,ClC(Cl)(Cl)Cl,298.15,7.103807142224351,9.551072803744088
O,ClC(Cl)(Cl)Cl,303.15,6.985891555184846,9.391925640371822
O,ClC(Cl)(Cl)Cl,303.15,7.019090908042805,9.391925640371822
O,CC(C)=O,298.15,1.9404438072234067,1.9462060417375429
O,CC(C)=O,307.85,1.7948995340602494,1.8684146970619373
O,CC(C)=O,318.05,1.742718023490054,1.7891055768813735
O,CC(C)=O,323.15,2.155458850603736,1.7504612331707876
O,CC(C)=O,328.45,1.6615691556444534,1.7110370252646558
O,CC(C)=O,333.15,1.6983860793014285,1.676712932677085
O,CC(C)=O,333.15,1.7739094343818835,1.676712932677085
O,CC(C)=O,373.15,1.5560687807758948,1.409186857915825
O,ClC(Cl)Cl,293.15,5.300524928090037,6.792208568229437
O,CCCCO,383.15,1.0715390947411765,2.8920630439047548
O,CCCCCO,323.1,0.9152942355365596,5.171343263818489
O,CCCCCO,323.15,1.4278368959885894,5.170226211620244
O,CCCCCO,333.15,1.3503044233867354,4.95130461904285
O,CCCCCO,343.15,1.281047727866106,4.741306253343684
O,CCCCCO,373.45,0.8909195891342591,4.158259194424971
O,CC(Cl)(Cl)Cl,293.15,6.026894430289861,9.61054950420721
O,CC(Cl)(Cl)Cl,308.15,5.745490476555972,9.138719187166988
O,CC(Cl)Cl,293.15,5.148191907970399,7.429075159813175
O,CC(Cl)Cl,308.15,4.850896809302559,7.07234914438925
O,CCC(C)C,293.15,7.348439514825745,10.31337844706929
O,CCC(C)C,293.15,7.7072065299121215,10.31337844706929
O,ClC=C(Cl)Cl,293.15,5.994863763221186,9.378488832487768
O,ClC=C(Cl)Cl,308.15,5.868796788092092,8.92540557037555
O,ClC=C(Cl)Cl,323.15,5.6403029481413895,8.466575453398383
O,CC(C)C(C)C,293.15,7.550024868211726,11.747334111419123
O,CC(C)C(C)C,298.15,7.751393594252053,11.552240728302102
O,CC(C)C(C)C,303.15,6.994584139316616,11.353232892785776
O,CCC(C)CC,298.15,7.706720870349922,11.808260490481189
O,CC1CCCC1,283.15,7.982549489210053,12.11779913021125
O,CC1CCCC1,293.15,7.400748852588844,11.744384641326112
O,ClCCCl,293.15,4.800860317187589,7.03327692562804
O,ClCCCl,308.15,4.330492521818207,6.7009004742030776
O,CC(C)CC(C)C,298.15,7.70771891480528,12.99742411760983
O,CC1CCCCC1,283.15,8.007200553954139,13.533163305493815
O,CC1CCCCC1,293.15,7.366375613672448,13.110938802132154
O,Oc1ccccc1,455.01,0.3873486584151711,2.998171115634625
O,CCCCC,288.15,8.315696154628117,10.781423717511394
O,CCCCC,298.15,7.812313452779256,10.438274656372323
O,CCCCC,311.48,7.819218376559413,9.960584538601609
O,CCCCCC,293.15,7.129946376856541,12.285245621783258
O,CCCCCC,293.15,7.198609813849256,12.285245621783258
O,CCCCCC,293.15,7.540212523092693,12.285245621783258
O,CCCCCC,293.15,7.634622494744645,12.285245621783258
O,CCCCCC,298.15,7.314566147814657,12.081099734383375
O,CCCCCC,298.15,7.417520340550807,12.081099734383375
O,CCCCCC,298.15,7.579551133631047,12.081099734383375
O,CCCCCC,298.15,7.750016189494872,12.081099734383375
O,CCCCCC,303.15,7.062799844888453,11.873322231845885
O,CCCCCC,303.15,7.125878248239475,11.873322231845885
O,CCCCCC,303.15,7.155755331895206,11.873322231845885
O,C1CCCCC1,283.15,8.070968586834773,12.308131935939986
O,C1CCCCC1,288.15,8.17870893203407,12.12013113499306
O,C1CCCCC1,292.15,7.671160530326755,11.966922940632736
O,C1CCCCC1,293.15,7.4723415507138204,11.92829079925752
O,C1CCCCC1,293.15,7.664600002156324,11.92829079925752
O,C1CCCCC1,293.15,7.669747320075953,11.92829079925752
O,C1CCCCC1,293.15,7.690350033259834,11.92829079925752
O,C1CCCCC1,293.15,8.196742718134235,11.92829079925752
O,C1CCCCC1,298.15,7.506734627010588,11.733485909499102
O,C1CCCCC1,298.15,7.89492936092867,11.733485909499102
O,C1CCCCC1,298.15,7.970878549719943,11.733485909499102
O,C1CCCCC1,298.15,8.024888327954244,11.733485909499102
O,C1CCCCC1,298.15,8.048519876909335,11.733485909499102
O,C1CCCCC1,298.15,8.08733907462537,11.733485909499102
O,C1CCCCC1,303.15,7.710671244487573,11.536516233911708
O,C1CCCCC1,303.15,7.825209333933533,11.536516233911708
O,C1CCCCC1,308.15,7.536950433049565,11.33810800188348
O,CCCCCCCC,288.15,7.655111249738373,15.76460999827946
O,CCCCCCCC,293.15,7.320070206751462,15.506502899796192
O,CCCCCCCC,293.15,7.40933024706519,15.506502899796192
O,CCCCCCCC,293.15,7.745786046484516,15.506502899796192
O,CCCCCCCC,298.15,7.593515241108064,15.24295007481157
O,CCCCCCCCC,298.15,7.479164111942365,16.86104891904683
O,CCCCCCCCCCCC,298.15,7.393976686250706,21.6941830830982
O,CCCCOC(C)=O,317.8,2.4237933669295373,6.867575807938167
O,CCCCCCCCCC,298.15,7.4708393312438846,18.381180852150987
O,CCCCCCCCCC,310.93,7.022252923646991,17.536709107108113
O,CCOC(C)=O,328.45,2.3140392430391614,4.224054853238213
O,CCOC(C)=O,333.15,2.3383382626998634,4.142016070112375
O,CCOC(C)=O,338.35,2.273543437009322,4.052185135530888
O,CCOC(C)=O,349.45,2.190368908628324,3.864245834388345
O,CCOC(C)=O,353.15,2.2168027785792965,3.8028787320814574
O,CCOC(C)=O,373.15,2.117751984893884,3.4835534746262304
O,CCCCCCC,283.15,7.752829239765303,14.337306603630878
O,CCCCCCC,293.15,7.1852885258819805,13.886503169678416
O,CCCCCCC,293.15,7.260824730939261,13.886503169678416
O,CCCCCCC,293.15,7.532045293132494,13.886503169678416
O,CCCCCCC,293.15,7.597270873308033,13.886503169678416
