Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_inf_pred_mosced
CCO,ClC(Cl)(Cl)Cl,293.2,3.5380565643793527,1.7367435683876815
CCO,ClC(Cl)(Cl)Cl,298.2,3.326473835466219,1.7272984256838744
CCO,ClC(Cl)(Cl)Cl,313.2,2.9652730660692823,1.688141586597765
CCO,ClC(Cl)(Cl)Cl,333.2,2.322387720290225,1.6171978327055645
CO,ClC(Cl)(Cl)Cl,293.2,3.877431560658527,2.366760339546942
CO,ClC(Cl)(Cl)Cl,313.2,3.2733640101522705,2.2914743525948387
CO,ClC(Cl)(Cl)Cl,333.2,2.5726122302071057,2.182531381596811
CC(C)=O,ClC(Cl)(Cl)Cl,293.2,1.1600209167967532,0.8741243819459033
CC(C)=O,ClC(Cl)(Cl)Cl,295.7,1.1474024528375415,0.8661112705611699
CC(C)=O,ClC(Cl)(Cl)Cl,316.5,1.0577902941478543,0.8038537921171307
CC(C)=O,ClC(Cl)(Cl)Cl,328.9,1.0367368849500225,0.7701535956455792
CC(C)=O,ClC(Cl)(Cl)Cl,333.0,1.0152306797290584,0.7595195271984624
CC(C)=O,ClC(Cl)(Cl)Cl,338.6,0.9858167945227654,0.7453807864713032
CC(C)=O,ClC(Cl)(Cl)Cl,344.4,0.947789398933526,0.73118858618467
CC(C)=O,ClC(Cl)(Cl)Cl,346.8,0.9516578757114464,0.7254457128507954
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.8415671856782185,0.718370964223067
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.6575200029167941,0.718370964223067
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,293.2,0.1739533071234379,0.1606790404377095
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,293.2,0.1484200051182732,0.1606790404377095
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,303.2,0.1570037488096647,0.1541307341892042
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.1222176327242491,0.1391880928900715
CCCO,ClC(Cl)(Cl)Cl,314.9,2.768204123921957,1.277957474348813
CCCO,ClC(Cl)(Cl)Cl,327.0,2.476538400117484,1.2475400761109448
CCCO,ClC(Cl)(Cl)Cl,338.9,2.1770218700187,1.2135031770636455
CCCO,ClC(Cl)(Cl)Cl,344.4,2.172476407647025,1.1967414167697463
CC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.0861776962410524,0.0539522785762409
CCBr,ClC(Cl)(Cl)Cl,293.2,0.2231435513142097,0.1877882754639922
CCI,ClC(Cl)(Cl)Cl,293.2,0.3001045924503381,0.1047479980847547
CC#N,ClC(Cl)(Cl)Cl,293.2,2.5952547069568657,2.1157428659898185
CC#N,ClC(Cl)(Cl)Cl,314.9,2.3702437414678603,1.8672758930199655
CC#N,ClC(Cl)(Cl)Cl,316.5,2.312535423847214,1.850665833534853
CC#N,ClC(Cl)(Cl)Cl,330.0,2.2082744135228043,1.7187253180551854
CC#N,ClC(Cl)(Cl)Cl,340.2,2.163323025660538,1.6279616194216675
CC#N,ClC(Cl)(Cl)Cl,346.0,2.091864061678393,1.579447622935898
ClCCl,ClC(Cl)(Cl)Cl,293.2,0.4574248470388755,0.4600583760972626
ClCCl,ClC(Cl)(Cl)Cl,328.2,0.3987761199573678,0.3723638684743197
S=C=S,ClC(Cl)(Cl)Cl,293.2,0.1906203596086497,0.3075786577267978
CC(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.3364722366212129,0.4448235796885311
CC(C)CO,ClC(Cl)(Cl)Cl,293.2,2.917770732084279,1.1020973131888634
ClC=C(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,-0.0100503358535014,0.0430672457168319
ClCCCl,ClC(Cl)(Cl)Cl,313.2,0.5481214085096876,0.5102478655799447
ClCCCl,ClC(Cl)(Cl)Cl,328.2,0.5007752879124892,0.4726768901491058
CCC#N,ClC(Cl)(Cl)Cl,293.2,1.9740810260220096,1.3009229302286884
CCCC(C)C,ClC(Cl)(Cl)Cl,298.2,0.3435897043900768,0.300464288052953
CC(C)CC(C)C,ClC(Cl)(Cl)Cl,298.2,0.371563556432483,0.2854269374604964
CC(C)OC(C)C,ClC(Cl)(Cl)Cl,293.2,0.0392207131532813,-0.207127646619267
Cc1ccccc1,ClC(Cl)(Cl)Cl,298.2,0.0198026272961797,0.016084604229525
Cc1ccccc1,ClC(Cl)(Cl)Cl,313.2,0.048790164169432,0.0158623299139595
CCCCC,ClC(Cl)(Cl)Cl,298.2,0.2851789422336624,0.3269677373328909
C1CCOC1,ClC(Cl)(Cl)Cl,303.2,-0.1984509387238383,-0.1704159968997079
CCCCCC,ClC(Cl)(Cl)Cl,293.2,0.2851789422336624,0.2363581227834337
CCCCCC,ClC(Cl)(Cl)Cl,298.2,0.3001045924503381,0.2291487986178502
CCCCCC,ClC(Cl)(Cl)Cl,313.2,0.2468600779315258,0.2093906527531186
CCCCCCCC,ClC(Cl)(Cl)Cl,298.2,0.2070141693843261,0.1087757953960218
CCCCCCCC,ClC(Cl)(Cl)Cl,298.2,0.2851789422336624,0.1087757953960218
CCCCCCCC,ClC(Cl)(Cl)Cl,313.2,0.1739533071234379,0.0915706120584752
CCCCCCCCC,ClC(Cl)(Cl)Cl,298.2,0.2468600779315258,0.0555034092970593
C1COCCO1,ClC(Cl)(Cl)Cl,298.2,0.2231435513142097,0.2664262738286388
C1COCCO1,ClC(Cl)(Cl)Cl,298.2,0.2546422183735807,0.2664262738286388
C1COCCO1,ClC(Cl)(Cl)Cl,303.2,0.2776317365982795,0.2644261127745822
C1COCCO1,ClC(Cl)(Cl)Cl,308.2,0.2851789422336624,0.2623289722863776
C1COCCO1,ClC(Cl)(Cl)Cl,313.2,0.2776317365982795,0.2601490602804474
C1COCCO1,ClC(Cl)(Cl)Cl,313.2,0.29266961396282,0.2601490602804474
C1COCCO1,ClC(Cl)(Cl)Cl,337.7,0.29266961396282,0.2486488050752386
CCCCCCCCCC,ClC(Cl)(Cl)Cl,313.2,0.0953101798043249,-0.0053075187672497
CCCCCCC,ClC(Cl)(Cl)Cl,298.2,0.29266961396282,0.1637806165307124
CCCCCCC,ClC(Cl)(Cl)Cl,313.2,0.2151113796169455,0.1456740184110614
CCCCCCC,ClC(Cl)(Cl)Cl,328.3,0.2390169004704999,0.1297460160276097
CCCCCCC,ClC(Cl)(Cl)Cl,349.1,0.1397619423751586,0.1108859219269746
CC(C)C(C)C(C)C,ClC(Cl)(Cl)Cl,298.2,0.3074846997479607,0.1668230517102714
CC(C)CCC(C)C,ClC(Cl)(Cl)Cl,298.2,0.3220834991691132,0.179821934213791
