Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
O,CCOC(C)=O,349.45,2.190368908628324
O,CCOC(C)=O,353.15,2.2168027785792965
O,CCOC(C)=O,373.15,2.117751984893884
O,CCCCCCC,283.15,7.752829239765303
O,CCCCCCC,293.15,7.1852885258819805
O,CCCCCCC,293.15,7.260824730939261
O,CCCCCCC,293.15,7.532045293132494
O,CCCCCCC,293.15,7.597270873308033
O,CCCCCCC,296.15,7.16280826569203
O,CCCCCCC,298.15,7.0791506956425385
O,CCCCCCC,298.15,7.080842665085672
O,CCCCCCC,298.15,7.261435743940541
O,CCCCCCC,298.15,7.301943710362531
O,CCCCCCC,298.15,7.585494362139409
O,CCCCCCC,298.15,7.69013969081241
O,CCCCCCC,313.15,7.047447653720132
O,CCCCCCC,313.15,7.262775855208943
O,C1CCCC1,283.15,7.99728309516684
O,CC=C(C)C,293.15,6.494916552444186
O,CC(C)CC(C)(C)C,293.15,7.220710283411295
O,CC(C)CC(C)(C)C,293.15,7.725387431413584
O,CC(C)CC(C)(C)C,298.15,7.583043941240769
O,CCCCCCCCCCCCCCCC,293.15,7.052807550681276
O,CCCCCCCCCCCCCCCC,298.15,7.072379490817057
O,CCCCCCCCCCCCCCCC,298.15,7.2968606263217275
O,CC(C)C(C)C(C)C,298.15,7.664168296160168
O,CCCC(C)CC,298.15,7.793281602163257
O,CCCCCCCCCCCCC,298.15,7.398651627432426
O,CCCCCCCCCCC,298.15,7.421003964760873
O,CCC1CCCC1,293.15,7.340452860931516
O,CCC1CCCCC1,310.9,7.118777664885934
O,CCCCC1CCCCC1,310.93,7.211017842750907
O,CC(C)CCC(C)(C)C,298.15,7.5349709686724955
O,CCCC(C)O,333.08,1.0231269581352769
O,CCCC(C)O,337.9,0.8098051391099234
O,ClC(Cl)(Cl)Cl,283.15,7.402756352401156
O,OCC(O)CO,330.85,-0.4289922126669714
O,OCC(O)CO,333.15,-0.24829855203950016
O,OCC(O)CO,333.15,-0.09725016035031343
O,OCC(O)CO,338.15,-0.21450100593286814
O,OCC(O)CO,339.75,-0.3944406019127106
O,OCC(O)CO,343.15,-0.18063497986475063
O,OCC(O)CO,343.15,-0.10731130610168038
O,OCC(O)CO,348.15,-0.14673822011180443
O,OCC(O)CO,349.95,-0.3824412041110268
O,OCC(O)CO,353.15,-0.16984214952462
O,OCC(O)CO,353.15,-0.11284512224246966
O,OCC(O)CO,358.15,-0.0649364669741801
O,OCC(O)CO,359.25,-0.37943046960826954
O,OCC(O)CO,363.15,-0.03133588030985294
O,OCC(O)CO,364.05,-0.3517897530811209
O,OCC(O)CO,368.15,0.00217762724777424
O,OCC(O)CO,373.15,0.06255217465696467
O,OCC(O)CO,378.15,0.0954647133179519
O,OCC(O)CO,383.15,0.12822609438416097
O,CC(O)CO,373.15,-0.12490697576762157
O,CC(O)CO,383.15,-0.13702319616666778
O,CC(O)CO,393.15,-0.17180069565483938
O,CCO,298.15,1.194055792917669
O,CCO,373.15,1.0648245236219325
O,CC(=O)O,339.58,0.8333525028885533
O,CC(=O)O,356.11,0.7734913812414355
O,CC(=O)O,366.66,0.7506516456283715
O,CC(=O)O,373.15,0.7439496044903033
O,CO,298.15,0.4784862994533061
O,CO,307.75,0.4685212811104118
O,CO,317.85,0.5786169737149491
O,CO,327.85,0.5351005881778923
O,CO,333.15,0.5696566380296487
O,CO,337.05,0.5598214810648546
O,CO,373.15,0.628859294677401
O,CC(C)O,288.15,1.405398214918962
O,CC(C)O,318.35,1.260010924204211
O,CC(C)O,328.15,1.228142353313121
O,CC(C)O,337.95,1.097217983743282
O,CC(C)O,355.51,1.1232463629597824
O,CC(C)O,363.15,1.1291641251959492
O,CC(C)O,373.15,1.1108109152916585
O,CC(C)O,373.15,1.5153799482804002
O,ClC(Cl)Cl,308.15,4.7870166299338095
O,CS(C)=O,368.3,-0.9598142889973449
O,CN(C)C=O,353.65,-0.03670340423568102
O,CN(C)C=O,358.15,-0.026169452581904756
O,CN(C)C=O,363.05,-0.00905083552041787
O,CN(C)C=O,367.65,0.013952213618004045
O,CN(C)C=O,368.15,-0.009103309676907898
O,CN(C)C=O,378.15,0.009791902462469226
O,CN(C)C=O,382.95,0.2795843744141646
O,CN(C)C=O,397.75,0.19755493743454394
O,CCCO,298.15,1.4188801308674042
O,CCCO,303.05,1.2868524072810656
O,CCCO,313.25,1.2045746231966257
O,CCCO,323.15,1.1401955933182522
O,CCCO,333.15,1.096202721324311
O,CCCCO,298.15,1.3349431703195331
O,CCCCO,308.2,1.6863396925550702
O,CCCCO,323.23,1.6535504870524214
O,CCCCO,333.15,1.2586853962471345
O,CCCCO,343.15,1.1963014546213606
O,CCCCO,353.15,1.1406687209564528
O,CCCCO,363.15,1.132475728506433
O,CCCCO,363.15,1.3957594257355896
O,CCCCO,372.15,1.0950927690853998
O,CCCCO,373.15,1.1810674686043026
O,CCCCO,373.15,1.2350091552313354
O,CCCCO,373.15,1.3968385749955616
O,CCCCCO,313.15,1.4665970349992845
O,CCCCCO,348.55,1.535181929327298
O,CCCCCO,362.45,1.526792988597672
O,CCCCCO,369.15,1.476169342411549
O,CC#N,297.15,2.1070226614406007
O,C=C(Cl)Cl,293.15,6.130041004464673
O,CC(C)(C)O,323.13,1.5835168456026996
O,CCC(C)(C)C,298.15,7.819977746680338
O,CCC(C)C,288.45,8.235835080501143
O,CCC(C)C,293.15,7.882296050877738
O,CCC(C)C,293.65,7.8200821651898185
O,CCC(C)C,294.45,7.8611375358193785
O,CCC(C)C,294.95,7.852155219254855
O,CCC(C)C,298.15,7.862501046337841
O,C=CC(=C)C,293.15,6.092162459706552
O,C=CC(=C)C,313.15,5.630892734515416
O,CC(C)CO,323.15,1.6764421412145742
O,CCC(C)O,323.18,1.5230517944747506
O,CCC(C)O,332.25,1.273408377805898
O,CCC(C)O,350.25,1.283716082559567
O,CCC(C)O,357.85,1.311298687383372
O,CCC(C)=O,298.15,2.283188183383314
O,CCC(C)=O,323.15,1.9937515639847556
O,CCC(C)=O,333.15,1.976020810090479
O,CCC(C)=O,333.15,2.00623085914904
O,CCC(C)=O,343.15,1.9482260367446436
O,CCC(C)=O,353.15,1.939398997439656
O,CCC(C)=O,373.15,1.7690468118986475
O,CCC(C)=O,373.15,1.8634458211487064
O,ClCC(Cl)Cl,323.15,4.084504641940128
O,CNC(C)=O,318.43,-0.29694349399080555
O,CNC(C)=O,331.9,-0.14367754836441804
O,CNC(C)=O,363.15,-0.10042604354830947
O,CCC(C)CC,295.5,8.078604504794848
O,CCC(C)CC,299.1,7.874035455601207
O,CC1CCCC1,303.15,6.950891393859272
O,OCCO,343.25,0.22758965274067894
O,OCCO,348.05,0.20479219042132193
O,OCCO,353.45,0.20046431052988248
O,CCCC(C)C,298.15,7.752008509183115
O,CC1CCCCC1,303.15,6.9329745821149835
O,CC1CCCCC1,310.93,7.177965605521878
O,CCCCC,297.95,7.640810436475499
O,CCCCC,297.95,7.64925919646216
O,CCCCC,298.15,7.641847646473841
O,C1CCOC1,308.35,2.416779474906161
O,C1CCOC1,317.65,2.341190232105112
O,C1CCOC1,328.05,2.286752415010672
O,C1CCOC1,338.05,2.2363566113439464
O,CCCCCC,283.15,8.076695547483276
O,CCCCCC,293.15,7.900695892476207
O,CCCCCC,298.15,7.861411157356256
O,OCCCCO,313.91,0.17422217853730493
O,OCCCCO,314.99,0.08374354343285945
O,OCCCCO,331.15,-0.1314911895406375
O,OCCCCO,332.81,0.2107389311554496
O,OCCCCO,334.32,0.3575205862824363
O,OCCCCO,340.65,-0.06405863630072049
O,OCCCCO,353.15,0.04322231145326903
O,OCCCCO,363.15,0.05835381018007155
O,OCCCCO,373.15,0.06229851419422415
O,OCCCCO,383.15,0.042542114265669194
O,OCCCCO,393.15,0.026262111988889312
O,OCCCCO,404.15,-0.02804974144675684
O,C1CCCCC1,301.65,7.264198196004706
O,C1CCCCC1,303.15,7.00850518208228
O,C1CCCCC1,303.25,7.293901642703902
O,C1CCCCC1,305.65,6.9767308169855315
O,C1CCCCC1,313.15,6.987545647128425
O,C1CCCCC1,313.15,7.029326685247924
O,C1CCCCC1,313.15,7.40053505141701
O,c1ccncc1,343.15,1.0591782194227026
O,c1ccncc1,353.15,1.0967605753046352
O,c1ccncc1,363.15,1.0383773825693055
O,c1ccncc1,373.15,1.0263354594611644
O,CCCCCCCO,323.34,1.9976130738185989
O,CCCCCCCO,332.78,1.9274173492747024
O,CCCCCCCCO,322.94,2.117880699498297
O,CCCCCCCCO,332.8,2.179480296856685
O,CCC(C)CO,358.25,1.1701015970174458
O,CCC(C)CO,371.55,1.1920722730675486
O,CCC(C)CO,381.95,1.2665165246707082
O,CCOC(C)=O,309.45,2.501575286293996
O,CCOC(C)=O,313.15,2.473972084735221
O,CCOC(C)=O,318.55,2.376569486083618
O,CCCCCCC,295.65,8.049015094871265
O,Cl/C=C/Cl,285.15,5.947536170274208
O,Cl/C=C/Cl,285.15,5.965184738087501
O,C1CCCC1,293.15,7.492275503761485
O,C1CCCC1,303.15,6.943093464871193
O,CC(C)C(C)(C)C,283.15,8.055087888110823
O,CC(C)C(C)(C)C,293.15,7.434717996648274
O,CC=C(C)C,313.15,6.0814514926991405
O,CC(C)CC(C)(C)C,283.15,7.844918653716874
O,CC(C)CC(C)(C)C,283.15,7.88757277033561
O,CCC(C)CC(C)C,283.15,8.00302197739915
O,CCC(C)CC(C)C,293.15,7.389014080474423
O,CCCCC(C)C,293.15,7.466404886029378
O,CC(C)CCCC(C)C,283.15,7.8821790606953455
O,CC(C)CCCC(C)C,293.15,7.343678461241034
O,CCCCC1CCCCC1,310.93,7.024898109751097
O,CCCCC1CCCC1,293.15,7.314699292969701
O,CCCCCC(C)CC,283.15,7.940747573042109
O,CCCCCC(C)CC,293.15,7.387560713200133
O,CCCCCCC(C)C,283.15,7.902539210970497
O,CCCCCCC(C)C,293.15,7.355372696349389
O,CC(C)C1CCCC1,293.15,7.362239096569835
O,CC(C)C1CCCC1,303.15,6.919159997245573
O,CCCC(C)O,323.18,1.5100749311131563
O,ClC(Cl)(Cl)Cl,298.15,6.876939306833555
O,ClC(Cl)Cl,298.15,5.227057641975661
O,CCCCCO,298.15,1.0304512139993895
O,c1ccccc1,298.15,5.825336170208778
O,CC(Cl)(Cl)Cl,298.15,5.83635048671198
O,CC(Cl)Cl,298.15,5.231103269246705
O,C[N+](=O)[O-],298.15,2.625074306951232
O,CC(C)C(C)C,298.15,7.372608165900305
O,ClC(Cl)C(Cl)Cl,298.15,4.528915295468919
O,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,298.15,7.999386590566106
O,CCCCC(=O)CC,298.15,3.136771660518828
O,BrCCBr,298.15,5.157513881956047
O,ClCCCl,298.15,4.563865783461136
O,OCCO,333.15,-0.2033409240180301
O,Cc1ccccc1,298.15,5.87524528811528
O,CCCCC,298.15,8.153548299439315
O,CCCCCCCC,298.15,7.4358509139130815
O,ClC(Cl)=C(Cl)Cl,298.15,7.17771371154501
O,CCOC(C)=O,298.15,1.9567243216826442
O,CCCCCCC,298.15,7.409505848728408
O,CC=C(C)C,298.15,6.507829798763248
O,CCC1CCCC1,298.15,7.220176304413972
O,CCOCC,298.15,2.980826735917011
O,BrCBr,298.15,4.992824282216802
O,CCBr,298.15,5.53547032623531
O,ClCCl,298.15,4.808421185963076
O,FC(Cl)(Cl)Cl,298.15,7.084360528779983
O,ClC(Cl)C(Cl)(Cl)Cl,298.15,5.53984292871742
O,FC(F)(Cl)C(F)(Cl)Cl,298.15,7.047169334764815
O,CC(C)C=O,298.15,2.3565523092639884
O,C=C(C)C(=O)OC,298.15,2.755906596111551
O,CCCCOC(=O)c1ccccc1C(=O)OCCCC,298.15,2.851064818803312
O,Cc1cccc(C)c1N,298.15,3.3740591142278222
O,c1ccc2ncccc2c1,333.15,0.5788019787750849
O,CCN(CC)C1CCCCC1,298.15,3.5739454810216773
O,CCN(CC)c1ccccc1,283.15,6.332652433270301
O,CCC(=O)c1ccccc1,298.15,3.0812859219066486
O,CCOC(=O)c1ccccc1,298.15,3.0849786510681856
O,Cc1ccccc1C,298.15,5.946046067416689
O,Cc1ccc(C)c(N)c1,298.15,2.9822518191401124
O,CCOC(=O)C(=O)OCC,298.15,3.3208510167783234
O,CC(C)COC(=O)C(C)C,298.15,3.412021917745303
O,C=C(C)C(=O)OCCCC,298.15,3.083477547841773
O,O=Cc1ccco1,323.15,1.3220837862020791
O,CC(C)(C)c1ccccc1,298.15,5.979725918202592
O,CC(C)c1ccccc1,298.15,5.952549587207411
O,CC(=O)c1ccccc1,368.775,1.538085831628634
O,Cc1ccc(C(C)C)cc1,298.15,5.934177007284574
O,CC(C)c1ccc(C(C)C)cc1,298.15,6.034758683366218
O,CCc1ccccc1,298.15,5.92558913272674
O,C=Cc1ccccc1,298.15,5.650008913967139
O,N#Cc1ccccc1,298.15,2.9187702324173626
O,O=Cc1ccccc1,298.15,3.1881939121741567
O,COc1ccccc1,298.15,4.456044692071107
O,C=CCN(CC=C)CC=C,293.15,3.420748343306263
O,CCCCN(CCCC)CCCC,298.15,4.573579410686887
O,CCCCc1ccccc1,298.15,6.009400236681516
O,O=COCc1ccccc1,298.15,2.8421672555267086
O,Cc1ccc(C#N)cc1,303.15,3.5297870004782816
O,Cc1ccc(C=O)cc1,298.15,3.0290606610024344
O,CCOC(=O)CC,298.15,2.657787953950103
O,CCOC(=O)CCl,298.15,3.3862833855129093
O,CCC(C)OC(C)=O,298.15,2.672761480856375
O,CCCC(=O)OCC,298.15,2.9625683807755574
O,CCOC(=O)OCC,298.15,2.779793952114886
O,CCCOC(=O)CCC,298.15,2.9091062768412965
O,CCC(=O)OCCC(C)C,298.15,3.6927046287960335
O,CCCC(=O)O.CCCC(=O)O.OCCO,298.15,3.018647698124732
O,CCCC(=O)OCCC(C)C,298.15,3.809489600834309
O,CCCOC(=O)CC,298.15,2.8382886780259393
O,Cc1ccc(C)cc1,298.15,5.923592475861147
O,CCCCCC(=O)OC,298.15,3.2531071888165015
O,CCCCCCC(=O)OC,298.15,2.9873573011718015
O,C=CC#N,298.15,2.3761607806523646
O,C=CCO,298.15,1.4847178712959834
O,CN(C)CCO,298.15,-0.20449232191637637
O,C=COC(C)=O,293.15,2.9400292706777402
O,CC(C)CC(C)O,298.15,1.2824410424032373
O,CC(C)OC(C)C,298.15,3.2736935013186392
O,CC(=O)OC(C)C,298.15,2.3305601174495574
O,Cc1cccc(C)c1,298.15,5.923694142389671
O,CCOC(=O)CC(C)C,298.15,3.1908178558128806
O,Cc1cc(C)cc(C)c1,298.15,5.96496912292892
O,CC(C)CC(=O)CC(C)C,298.15,3.6412216485843993
O,CCCCOC(=O)CCC,298.15,3.3534661566187274
O,CCCOC(C)=O,298.15,2.401760520367848
O,C=CCC#N,382.15,1.8006300093962426
O,CCOC=O,298.15,2.1544249341128148
O,CC(=O)CCC(C)C,298.15,2.5832576561349527
O,CC(=O)OCC(C)C,298.15,2.6907480450206136
O,CC(C)CCOC=O,298.15,2.9625683807755574
O,COCCC#N,323.15,2.232952016619671
O,CCCOC=O,298.15,2.829388391182918
O,CCOCCO,341.15,0.4197755567814918
O,C1=CCCCC1,298.15,6.783143983732173
O,C1COCCN1,385.65,0.7210978944036309
O,CC(C)CNCC(C)C,298.15,2.4724797547798727
O,CCCCCCC(C)=O,298.15,2.443607110705934
O,CCCCCCO,298.15,1.2085423480403057
O,C=CCCCCCC,298.15,6.4907948521414385
O,CCCCCCC=O,298.15,3.0015055759258327
O,CCCCCCCOC(C)=O,298.15,3.3247446113345323
O,CCCCCCCCOC(C)=O,298.15,3.1061191359400735
O,CCCCCCCCCC=O,298.15,2.715250880538911
O,CCCCCCCCCCCC=O,333.15,2.839347433180982
O,CCCCCCOCCCCCC,312.55,4.522971572685865
O,COC(=O)C(Cl)Cl,298.15,3.942554150325297
O,CCOC(=O)c1ccccc1O,298.15,3.931309813437919
O,CCCC(C)C=O,298.15,3.097629799980151
O,CC(C)CC(=O)CC(C)CC(C)C,298.15,3.665933190767685
O,CCCC(=O)CCC,298.15,3.0853627177907823
O,CCCCCC(=O)OCC,298.15,3.3187790767127385
O,C/C=C/C=O,298.15,1.9304846424597146
O,CC(=O)OCCC(C)C,298.15,3.0265039322207445
